============================================================
Log started at: 20251215_200711
Log file: sudoku_ga_log_20251215_200711.txt
============================================================

==================== EXPERIMENT CONFIGURATION ====================
Sudoku File:          .\computacion_evolutiva_1\sencillo.txt
Algorithm Runs:       1
Population Size:      100
Mutation Rate:        0.01
Elite Size:           5
Crossover Rate:       0.9
Crossover Type:       single_point
Elitism Replacement:  worst
================================================================

Loading board from .\computacion_evolutiva_1\sencillo.txt...
Initial Board:
0 0 0 | 0 3 0 | 0 0 4 
0 9 0 | 4 0 6 | 0 7 0 
0 5 0 | 0 0 0 | 3 8 0 
---------------------
0 0 0 | 0 7 8 | 0 0 3 
3 0 0 | 0 0 0 | 6 9 0 
5 4 0 | 6 0 0 | 0 2 0 
---------------------
7 0 5 | 0 2 4 | 0 0 0 
9 8 4 | 0 6 5 | 2 0 0 
0 2 6 | 0 8 0 | 0 0 9 

Starting Mutation Rate Sweep: [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7]
Runs per rate: 10

########################################
### TESTING MUTATION RATE: 0.1 ###
########################################

--- Mutation 0.1 | Run 1/10 ---
Starting evolution with population size 100...
Gen 0: Best Fitness = 43.00 | Avg Fitness = 65.32
Gen 10: Best Fitness = 23.00 | Avg Fitness = 37.35
Gen 20: Best Fitness = 16.00 | Avg Fitness = 31.55
Gen 30: Best Fitness = 14.00 | Avg Fitness = 31.56
Gen 40: Best Fitness = 14.00 | Avg Fitness = 32.14
Gen 50: Best Fitness = 14.00 | Avg Fitness = 31.36
Gen 60: Best Fitness = 14.00 | Avg Fitness = 32.54
Gen 70: Best Fitness = 14.00 | Avg Fitness = 33.02
Gen 80: Best Fitness = 14.00 | Avg Fitness = 31.27
Gen 90: Best Fitness = 14.00 | Avg Fitness = 30.82
Gen 100: Best Fitness = 14.00 | Avg Fitness = 31.59
Gen 110: Best Fitness = 13.00 | Avg Fitness = 31.82
Gen 120: Best Fitness = 13.00 | Avg Fitness = 32.89
Gen 130: Best Fitness = 13.00 | Avg Fitness = 33.09
Gen 140: Best Fitness = 13.00 | Avg Fitness = 31.62
Gen 150: Best Fitness = 13.00 | Avg Fitness = 31.69
Gen 160: Best Fitness = 13.00 | Avg Fitness = 32.44
Gen 170: Best Fitness = 13.00 | Avg Fitness = 32.78
Gen 180: Best Fitness = 13.00 | Avg Fitness = 33.52
Gen 190: Best Fitness = 13.00 | Avg Fitness = 30.68
Gen 200: Best Fitness = 13.00 | Avg Fitness = 31.77
Gen 210: Best Fitness = 13.00 | Avg Fitness = 29.39
Gen 220: Best Fitness = 13.00 | Avg Fitness = 30.08
Gen 230: Best Fitness = 9.00 | Avg Fitness = 31.39
Gen 240: Best Fitness = 9.00 | Avg Fitness = 28.89
Gen 250: Best Fitness = 9.00 | Avg Fitness = 31.85
Gen 260: Best Fitness = 9.00 | Avg Fitness = 31.51
Gen 270: Best Fitness = 9.00 | Avg Fitness = 29.78
Gen 280: Best Fitness = 9.00 | Avg Fitness = 28.51
Gen 290: Best Fitness = 8.00 | Avg Fitness = 31.90
Gen 300: Best Fitness = 8.00 | Avg Fitness = 29.79
Gen 310: Best Fitness = 6.00 | Avg Fitness = 27.47
Gen 320: Best Fitness = 6.00 | Avg Fitness = 29.01
Gen 330: Best Fitness = 6.00 | Avg Fitness = 28.32
Gen 340: Best Fitness = 6.00 | Avg Fitness = 27.47
Gen 350: Best Fitness = 6.00 | Avg Fitness = 29.56
Gen 360: Best Fitness = 6.00 | Avg Fitness = 26.48
Gen 370: Best Fitness = 6.00 | Avg Fitness = 30.39
Gen 380: Best Fitness = 6.00 | Avg Fitness = 29.98
Gen 390: Best Fitness = 6.00 | Avg Fitness = 29.06
Gen 400: Best Fitness = 6.00 | Avg Fitness = 29.58
Gen 410: Best Fitness = 6.00 | Avg Fitness = 27.98
Gen 420: Best Fitness = 6.00 | Avg Fitness = 28.16
Gen 430: Best Fitness = 6.00 | Avg Fitness = 30.89
Gen 440: Best Fitness = 5.00 | Avg Fitness = 27.77
Gen 450: Best Fitness = 5.00 | Avg Fitness = 28.91
Gen 460: Best Fitness = 5.00 | Avg Fitness = 29.63
Gen 470: Best Fitness = 5.00 | Avg Fitness = 29.52
Gen 480: Best Fitness = 5.00 | Avg Fitness = 28.43
Gen 490: Best Fitness = 5.00 | Avg Fitness = 27.55
Gen 500: Best Fitness = 5.00 | Avg Fitness = 27.48
Gen 510: Best Fitness = 5.00 | Avg Fitness = 26.47
Gen 520: Best Fitness = 5.00 | Avg Fitness = 28.53
Gen 530: Best Fitness = 5.00 | Avg Fitness = 29.00
Gen 540: Best Fitness = 5.00 | Avg Fitness = 29.09
Gen 550: Best Fitness = 5.00 | Avg Fitness = 31.11
Gen 560: Best Fitness = 5.00 | Avg Fitness = 30.37
Gen 570: Best Fitness = 5.00 | Avg Fitness = 32.32
Gen 580: Best Fitness = 5.00 | Avg Fitness = 28.26
Gen 590: Best Fitness = 4.00 | Avg Fitness = 29.63
Gen 600: Best Fitness = 4.00 | Avg Fitness = 29.44
Gen 610: Best Fitness = 4.00 | Avg Fitness = 28.31
Gen 620: Best Fitness = 4.00 | Avg Fitness = 28.52
Gen 630: Best Fitness = 4.00 | Avg Fitness = 28.32
Gen 640: Best Fitness = 4.00 | Avg Fitness = 29.90
Gen 650: Best Fitness = 4.00 | Avg Fitness = 28.92
Gen 660: Best Fitness = 4.00 | Avg Fitness = 29.76
Gen 670: Best Fitness = 4.00 | Avg Fitness = 26.55
Gen 680: Best Fitness = 4.00 | Avg Fitness = 27.92
Gen 690: Best Fitness = 4.00 | Avg Fitness = 26.80
Gen 700: Best Fitness = 4.00 | Avg Fitness = 25.89
Gen 710: Best Fitness = 4.00 | Avg Fitness = 26.64
Gen 720: Best Fitness = 4.00 | Avg Fitness = 27.63
Gen 730: Best Fitness = 4.00 | Avg Fitness = 28.55
Gen 740: Best Fitness = 4.00 | Avg Fitness = 27.97
Gen 750: Best Fitness = 4.00 | Avg Fitness = 30.27
Gen 760: Best Fitness = 4.00 | Avg Fitness = 29.71
Gen 770: Best Fitness = 4.00 | Avg Fitness = 31.15
Gen 780: Best Fitness = 4.00 | Avg Fitness = 27.30
Gen 790: Best Fitness = 4.00 | Avg Fitness = 30.13
Gen 800: Best Fitness = 4.00 | Avg Fitness = 27.84
Gen 810: Best Fitness = 4.00 | Avg Fitness = 30.62
Gen 820: Best Fitness = 4.00 | Avg Fitness = 28.14
Gen 830: Best Fitness = 4.00 | Avg Fitness = 28.40
Gen 840: Best Fitness = 4.00 | Avg Fitness = 28.72
Gen 850: Best Fitness = 4.00 | Avg Fitness = 28.04
Gen 860: Best Fitness = 4.00 | Avg Fitness = 29.70
Gen 870: Best Fitness = 4.00 | Avg Fitness = 27.80
Gen 880: Best Fitness = 4.00 | Avg Fitness = 27.59
Gen 890: Best Fitness = 4.00 | Avg Fitness = 28.88
Gen 900: Best Fitness = 4.00 | Avg Fitness = 29.02
Gen 910: Best Fitness = 4.00 | Avg Fitness = 29.60
Gen 920: Best Fitness = 4.00 | Avg Fitness = 29.67
Gen 930: Best Fitness = 4.00 | Avg Fitness = 28.82
Gen 940: Best Fitness = 4.00 | Avg Fitness = 28.08
Gen 950: Best Fitness = 4.00 | Avg Fitness = 27.41
Gen 960: Best Fitness = 4.00 | Avg Fitness = 28.75
Gen 970: Best Fitness = 4.00 | Avg Fitness = 28.87
Gen 980: Best Fitness = 4.00 | Avg Fitness = 28.22
Gen 990: Best Fitness = 4.00 | Avg Fitness = 26.64
Max generations reached.
Run Finished. Final Fitness: 4.0

--- Mutation 0.1 | Run 2/10 ---
Starting evolution with population size 100...
